belongs_to_collection,release_date,title,vote_average
,10/6/1995,Kicking and Screaming,7
,3/22/1995,Les Miserables,6.6
,1/26/1996,Bed of Roses,5.1
,1/26/1996,Big Bully,3.9
"{'id': 122017, 'name': 'Screamers Collection', 'poster_path': '/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg', 'backdrop_path': None}",9/8/1995,Screamers,6.1
,2/18/1995,Nico Icon,7.3
,11/15/1995,The Crossing Guard,6.1
,2/2/1996,The Juror,5.5
,1/1/1995,The White Balloon,7.5
,12/1/1995,Things to Do in Denver When You're Dead,6.7
,9/12/1995,Antonia's Line,7.2
,1/26/1996,Once Upon a Time... When We Were Colored,4.5
,11/22/1995,Last Summer in the Hamptons,0
,9/10/1995,Angels and Insects,6.3
,2/2/1996,White Squall,6.3
,1/12/1996,Dunston Checks In,5.1
,2/1/1996,Black Sheep,6
,11/22/1995,Nick of Time,6.1
,9/14/1995,The Journey of August King,6.7
,2/23/1996,Mary Reilly,5.7
,10/26/1995,Vampire in Brooklyn,4.5
,2/9/1996,Beautiful Girls,6.6
,2/9/1996,Broken Arrow,5.7
,12/1/1995,A Midwinter's Tale,7.5
,5/31/1995,La Haine,7.9
,12/6/1994,Shopping,5.6
,12/27/1995,Heidi Fleiss: Hollywood Madam,6.8
,2/16/1996,City Hall,6
,2/21/1996,Bottle Rocket,6.8
,2/16/1996,Mr. Wrong,3.3
,2/23/1996,Unforgettable,5.3
,2/16/1996,Happy Gilmore,6.5
,5/28/1995,The Bridges of Madison County,7.3
,11/7/1994,Nobody Loves Me,5.1
"{'id': 256377, 'name': 'The Muppet Collection', 'poster_path': '/8Ew8EIdFFurMMYjSbWPu1Hl4vLX.jpg', 'backdrop_path': '/1AWd3MM90G47mxtD112gRDxSXY9.jpg'}",2/16/1996,Muppet Treasure Island,6.5
,12/8/1995,Catwalk,7
,5/20/1995,Headless Body in Topless Bar,0
,5/24/1995,Braveheart,7.7
,2/7/1976,Taxi Driver,8.1
,1/30/1995,Rumble in the Bronx,6.5
,2/23/1996,Before and After,5.8
,9/13/1995,Margaret's Museum,7.5
,1/31/1995,Happiness Is in the Field,7
,6/8/1995,Anne Frank Remembered,7.3
,1/20/1995,The Young Poisoner's Handbook,6.9
,3/8/1996,If Lucy Fell,5.4
,9/29/1995,Steal Big Steal Little,5.1
,3/22/1996,Race the Sun,5.2
,12/6/1992,The Boys of St. Vincent,7
,6/30/1992,Boomerang,5.4
,7/14/1994,Chungking Express,7.9
,9/21/1995,The Star Maker,6.8
,3/22/1996,Flirting with Disaster,6.3
"{'id': 91430, 'name': 'The Neverending Story Collection', 'poster_path': '/tXuOhgEbXoba7vVIybzGlnycoNq.jpg', 'backdrop_path': '/2IqXJIR1i0f6Ngq3A6rjXhQNqFc.jpg'}",10/26/1994,The Neverending Story III: Escape from Fantasia,4.4
,9/30/1994,The Silences of the Palace,4.3
,1/1/1995,Jupiter's Wife,0
,2/9/1996,Pie in the Sky,7
,1/1/1995,Angela,5.6
,11/22/1995,Frankie Starlight,5.4
,10/13/1995,Jade,5.1
,8/16/1995,Nueba Yol,5.5
,8/1/1995,Sonic Outlaws,0
,3/1/1996,Down Periscope,5.6
,9/8/1995,From the Journals of Jean Seberg,6.5
,9/15/1995,Man of the Year,3.8
,8/23/1995,The Neon Bible,7.2
,8/1/1995,Target,0
,3/1/1996,Up Close & Personal,5.9
,3/8/1996,The Birdcage,6.7
,10/12/1995,Virgin Mary,7
,8/9/1995,The Brothers McMullen,6.3
"{'id': 14890, 'name': 'Bad Boys Collection', 'poster_path': '/tSVbihfvVTCbcm0zXKA7L8R6Y9v.jpg', 'backdrop_path': '/yUvBiiC77UY6SyKhfFyLj7DNbfh.jpg'}",4/7/1995,Bad Boys,6.5
,8/25/1995,The Amazing Panda Adventure,5
,4/21/1995,The Basketball Diaries,7.2
,7/21/1995,An Awfully Big Adventure,6
,8/5/1994,Amateur,6.5
,6/30/1995,Apollo 13,7.3
,4/13/1995,Rob Roy,6.5
,1/10/1995,The Addiction,6.4
"{'id': 120794, 'name': 'Batman Collection', 'poster_path': '/adQxUvQW8HXNsvMG5aj71pHh9T.jpg', 'backdrop_path': '/9SpZvXLZDGGtFqVDByGqSGI64Kw.jpg'}",6/16/1995,Batman Forever,5.2
,5/24/1967,Belle de Jour,7.3
,5/24/1995,Beyond Rangoon,6.4
"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",9/15/1995,Blue in the Face,6.8
,6/8/1995,Canadian Bacon,5.9
"{'id': 8819, 'name': 'Casper Collection', 'poster_path': '/nWKbJAOFwJlJm24dTovfQuUJOc2.jpg', 'backdrop_path': None}",5/26/1995,Casper,6
,9/15/1995,Clockers,6.8
,6/9/1995,Congo,5
,5/12/1995,Crimson Tide,7
,9/10/1994,Crumb,7.6
"{'id': 9649, 'name': 'Mexico Trilogy', 'poster_path': '/qmPhILSFQKaRyc81mVJWl05tHai.jpg', 'backdrop_path': '/6p1OzuIKWnTDfDea7IpB9xra5J.jpg'}",8/25/1995,Desperado,6.8
,9/15/1995,Devil in a Blue Dress,6.3
"{'id': 1570, 'name': 'Die Hard Collection', 'poster_path': '/dQP1lu4tBtCiAMeCRcuTFpJiM7y.jpg', 'backdrop_path': '/5kHVblr87FUScuab1PVSsK692IL.jpg'}",5/19/1995,Die Hard: With a Vengeance,6.9
"{'id': 259398, 'name': 'Teenage Apocalypse Trilogy', 'poster_path': '/kSLUbpxgcHErkaUc0nB193Nph6Y.jpg', 'backdrop_path': '/3pzDZR85GPgdC6b4HwHqzqeEDfB.jpg'}",10/27/1995,The Doom Generation,5.6
,10/12/1995,Feast of July,0
,7/7/1995,First Knight,5.9
"{'id': 9328, 'name': 'Free Willy Collection', 'poster_path': '/3M2Q9ZDTyFBfi3ohz2gizFmnoL0.jpg', 'backdrop_path': '/aef15QAJ8Kxbh8W5zXqJb1f9Vhw.jpg'}",7/19/1995,Free Willy 2 - The Adventure Home,5.5
,9/14/1995,Hackers,6.2
,8/18/1995,Jeffrey,6.5
,5/26/1995,Johnny Mnemonic,5.5
,6/30/1995,Judge Dredd,5.4
,4/12/1995,Jury Duty,4
,7/28/1995,Kids,6.8
,1/20/1995,Living in Oblivion,7.2
,8/25/1995,Lord of Illusions,5.9
,5/20/1993,Love & Human Remains,7
,5/26/1995,Mad Love,5.5
,10/20/1995,Mallrats,6.8
"{'id': 286162, 'name': 'Power Rangers Collection', 'poster_path': '/zyHCzQUkgaemgCMEplqAqsp83SA.jpg', 'backdrop_path': '/ddGPthtIvNM2f8qBAyxa5GSKskK.jpg'}",6/30/1995,Mighty Morphin Power Rangers: The Movie,5.2
,9/29/1995,Moonlight and Valentino,5.6
,9/28/1995,Mute Witness,6.4
,9/13/1994,Nadja,5.9
"{'id': 328073, 'name': 'Síť (kolekce)', 'poster_path': '/k8HvmCUbKHBbTJoe7hJQapQd5Uy.jpg', 'backdrop_path': '/5j4HxayNgcAgGStNKqPxM0QNC7V.jpg'}",7/28/1995,The Net,5.6
,7/12/1995,Nine Months,5.5
,6/9/1995,Party Girl,5.8
"{'id': 9068, 'name': 'The Prophecy Collection', 'poster_path': '/pU4wvBeirFDNk8rs9tsGZLa7Kyb.jpg', 'backdrop_path': None}",9/1/1995,The Prophecy,6.4
,11/17/1995,Reckless,10
,6/23/1995,Safe,7.2
,10/13/1995,The Scarlet Letter,5.5
,8/25/1995,The Show,5.3
"{'id': 247294, 'name': 'Showgirls Collection', 'poster_path': '/lXpCjeuKtzkckXkam8sgOaaTOhc.jpg', 'backdrop_path': '/nKMLBnDGCPdHipJs0Xk8NzNmLFS.jpg'}",9/22/1995,Showgirls,4.9
"{'id': 439053, 'name': 'Brooklyn Cigar Store Collection', 'poster_path': '/bgiPsYjbjbRFmEeUfYlp8ZDBVJJ.jpg', 'backdrop_path': '/r4Ov7P8OADcOxfpuDujoJl2Cqry.jpg'}",6/9/1995,Smoke,7.2
,8/4/1995,Something to Talk About,5.7
"{'id': 9887, 'name': 'Species Collection', 'poster_path': '/t5J0JH1L8L7CmtC3sL3K2ybgTbE.jpg', 'backdrop_path': '/vnpcoCTZhg1EdEog1kAS0pklx1o.jpg'}",7/7/1995,Species,5.5
,9/15/1995,The Stars Fell on Henrietta,6.6
,10/13/1995,Strange Days,6.8
,2/19/1964,The Umbrellas of Cherbourg,7.6
,9/8/1995,The Tie That Binds,4.6
,10/27/1995,Three Wishes,6.1
,11/2/1995,Total Eclipse,6.5
,9/7/1995,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3
"{'id': 112399, 'name': 'Under Siege Collection', 'poster_path': '/5hkZdonGNmoqatnadpDnIgEbrho.jpg', 'backdrop_path': '/4Ysa3x4wDwolRpUXBCrig7szGon.jpg'}",7/13/1995,Under Siege 2: Dark Territory,5.6
,9/15/1995,Unstrung Heroes,6.4
,8/11/1995,Unzipped,6
,8/11/1995,A Walk in the Clouds,6.5
,7/28/1995,Waterworld,5.9
,12/1/1995,White Man's Burden,5.1
,12/1/1995,Wild Bill,5.9
,10/12/1994,The Browning Version,6
,8/4/1995,Bushwhacked,4.9
"{'id': 23170, 'name': 'Burnt by the Sun Trilogy', 'poster_path': '/prqpHdXvfzz8uYwGPaHj62XfJ1H.jpg', 'backdrop_path': '/h062iMfHieuKdeujaSZBmdYlgRw.jpg'}",5/1/1994,Burnt by the Sun,6.7
,6/9/1994,Before the Rain,7.7
"{'id': 123800, 'name': 'Before... Collection', 'poster_path': '/giaxAC74fht0LVQ4WKVoDzLM2Iy.jpg', 'backdrop_path': '/wtNugZq8ZzBYwPIh3VoNUJdkBWG.jpg'}",1/27/1995,Before Sunrise,7.7
,2/10/1995,Billy Madison,6.2
,10/17/1995,The Babysitter,4.7
,2/3/1995,Boys on the Side,6.3
,4/21/1995,The Cure,7.2
,8/4/1995,Castle Freak,5.8
,3/16/1995,Circle of Friends,6.5
"{'id': 182813, 'name': 'Clerks Collection', 'poster_path': '/qEjGvJ9I2ak6ENjdJ23dfjqLkAK.jpg', 'backdrop_path': '/6Fjkbh2DVAvVZa3c1HamblAN5Bg.jpg'}",9/13/1994,Clerks,7.4
,10/1/1994,Don Juan DeMarco,6.3
,12/9/1994,Disclosure,5.9
,1/1/1995,Dream Man,2.5
,12/8/1994,Drop Zone,5.1
,4/28/1995,Destiny Turns on the Radio,5.3
,5/4/1994,Death and the Maiden,7.1
,3/24/1995,Dolores Claiborne,7.1
"{'id': 96665, 'name': 'Dumb and Dumber Collection', 'poster_path': '/fdB86tl7SKIBWZzm0CbrYjOdE1K.jpg', 'backdrop_path': '/saUnj5K6buVafDfLfTozDH2eqdC.jpg'}",12/16/1994,Dumb and Dumber,6.5
,8/3/1994,Eat Drink Man Woman,7.5
,9/24/1994,Exotica,6.5
,10/14/1994,Exit to Eden,4.3
,9/27/1994,Ed Wood,7.3
,5/5/1995,French Kiss,6.2
,5/19/1995,Forget Paris,6.1
,1/13/1995,Far from Home: The Adventures of Yellow Dog,5.6
"{'id': 410261, 'name': 'A Goofy Movie Collection', 'poster_path': '/4AkuuP5ljZMsAhzVnpzIXPSmDoy.jpg', 'backdrop_path': '/yiLa63gIb7EGH9BbUWXHwI6PMmx.jpg'}",4/7/1995,A Goofy Movie,6.7
,3/3/1995,Hideaway,5
,6/2/1995,Fluke,6.6
,12/7/1994,Farinelli,5.9
,5/12/1995,Gordy,3
,12/1/1995,Gumby: The Movie,5
,9/16/1994,The Glass Shield,5.4
,9/12/1994,Hoop Dreams,7.7
,9/2/1994,Heavenly Creatures,6.9
,1/6/1995,Houseguest,6
,12/16/1994,Immortal Beloved,6.9
,2/17/1995,Heavyweights,6
,2/24/1995,The Hunted,6
,12/24/1994,I.Q.,5.9
"{'id': 217704, 'name': 'The Vampire Chronicles', 'poster_path': '/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg', 'backdrop_path': '/5margBoJC97ZrciVpAUc0PiY6Rc.jpg'}",11/11/1994,Interview with the Vampire,7.2
,3/31/1995,Jefferson in Paris,5.2
,2/3/1995,The Jerky Boys,4.8
,11/22/1994,Junior,4.7
,2/17/1995,Just Cause,6
,8/11/1995,A Kid in King Arthur's Court,4.3
,4/21/1995,Kiss of Death,5.7
"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",5/25/1977,Star Wars,8.1
,12/21/1994,Little Women,7
,5/10/1995,A Little Princess,7.4
,2/18/1994,Ladybird Ladybird,7.4
,2/16/1994,L'Enfer,6.6
,4/16/1992,Like Water for Chocolate,6.6
,12/16/1994,Legends of the Fall,7.2
,3/24/1995,Major Payne,6.1
,10/27/1994,Little Odessa,6.4
,6/8/1994,Mi Vida Loca,5.7
,10/21/1994,Love Affair,4.3
,3/17/1995,Losing Isaiah,6.4
,12/28/1994,The Madness of King George,6.7
,11/4/1994,Mary Shelley's Frankenstein,6.1
,3/3/1995,Man of the House,5.1
,12/21/1994,Mixed Nuts,5.2
,8/31/1994,Milk Money,5.6
,11/18/1994,Miracle on 34th Street,6.4
,1/27/1995,Miami Rhapsody,5.6
,5/3/1995,My Family,7
,1/20/1995,Murder in the First,6.9
,12/23/1994,Nobody's Fool,7
,12/23/1994,Nell,6.1
,4/19/1995,New Jersey Drive,6.9
,8/14/1993,New York Cop,0
,4/22/1994,Beyond Bedlam,4
"{'id': 286948, 'name': 'Nemesis Collection', 'poster_path': '/nKAGlTL97Sp1zIy3f6rGEqjyjGG.jpg', 'backdrop_path': None}",9/26/1995,Nemesis 2 - Nebula,4.6
,3/3/1995,Nina Takes a Lover,7.4
,8/25/1994,Natural Born Killers,6.9
,9/17/1994,Only You,6.4
"{'id': 300546, 'name': 'Once were Warriors Collection', 'poster_path': None, 'backdrop_path': None}",9/2/1994,Once Were Warriors,7.6
"{'id': 48188, 'name': 'Poison Ivy Collection', 'poster_path': '/wKFflwLibrLXg7U8hcXnzGyziXz.jpg', 'backdrop_path': '/hFktEH1hJsf4kzTnYjJB8rMiJpl.jpg'}",1/16/1996,Poison Ivy II: Lily,4.6
,3/10/1995,Outbreak,6.4
,9/14/1994,Leon: The Professional,8.2
,5/12/1995,The Perez Family,6.6
,4/28/1995,A Pyromaniac's Love Story,7
,9/10/1994,Pulp Fiction,8.3
,11/10/1995,Panther,6.4
,2/1/1992,Pushing Hands,6.1
,1/1/1994,Priest,6.4
,9/16/1994,Quiz Show,7.1
,5/5/1995,Picture Bride,7.4
,5/13/1994,Queen Margot,7
,2/9/1995,The Quick and the Dead,6.2
,3/1/1995,Roommates,6.4
,12/23/1994,Prêt-à-Porter,5.3
"{'id': 131, 'name': 'Three Colors Collection', 'poster_path': '/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg', 'backdrop_path': '/AeHExfHIl70SZCea907KfEoSkfJ.jpg'}",5/27/1994,Three Colors: Red,7.8
"{'id': 131, 'name': 'Three Colors Collection', 'poster_path': '/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg', 'backdrop_path': '/AeHExfHIl70SZCea907KfEoSkfJ.jpg'}",1/10/1993,Three Colors: Blue,7.7
"{'id': 131, 'name': 'Three Colors Collection', 'poster_path': '/rVdd23QuT5rHX7lZvuAkRRUkeCZ.jpg', 'backdrop_path': '/AeHExfHIl70SZCea907KfEoSkfJ.jpg'}",1/26/1994,Three Colors: White,7.3
,10/14/1994,"Red Firecracker, Green Firecracker",7
,1/1/1995,Rent-a-Kid,5.1
,10/3/1995,Relative Fear,4.7
,4/12/1995,Stuart Saves His Family,5
"{'id': 144200, 'name': 'Swan Princess Series', 'poster_path': '/3qBPAUFUMOOT9KqUEYXWAKy93Ge.jpg', 'backdrop_path': '/wxKt5KHvMYUSLHvyPf2xj64y3dJ.jpg'}",11/18/1994,The Swan Princess,6.5
,1/1/1994,The Secret of Roan Inish,6.1
,10/7/1994,The Specialist,5.5
,10/27/1994,Stargate,6.8
"{'id': 53159, 'name': 'The Santa Clause Collection', 'poster_path': '/1h8iA6i2DpPhsHC65nUB2voVnm5.jpg', 'backdrop_path': '/jQiwVHJN1rsS4DqhF7hlYZTYCH.jpg'}",11/10/1994,The Santa Clause,6.3
,9/23/1994,The Shawshank Redemption,8.5
,12/22/1994,Shallow Grave,7
,9/14/1993,Suture,6
,1/1/1993,Strawberry and Chocolate,7.1
,9/10/1994,Swimming with Sharks,6.7
,7/12/1994,The Sum of Us,6
,9/8/1995,Senior Trip,5.7
,6/30/1994,To Live,7.7
,3/31/1995,Tank Girl,5.5
"{'id': 115142, 'name': 'Tales from the Crypt Collection', 'poster_path': '/mjP1Ktqz3VCyX2akRAIjgxaALwx.jpg', 'backdrop_path': '/o9Nll2BovcZ9EDmBBMmnHx99wP4.jpg'}",1/13/1995,Tales from the Crypt: Demon Knight,6.7
"{'id': 115570, 'name': 'Star Trek: The Next Generation Collection', 'poster_path': '/sddV6vaUC6x37icJS3opIXTXB07.jpg', 'backdrop_path': '/r7MMQenUURHhAVHFymtOb8AX4Bm.jpg'}",11/17/1994,Star Trek: Generations,6.4
,5/24/1995,Tales from the Hood,5.4
,4/15/1994,Tom & Viv,5.8
,4/28/1995,Village of the Damned,5.6
,3/31/1995,Tommy Boy,6.8
,9/13/1994,Vanya on 42nd Street,6.1
,4/28/1995,The Underneath,5.6
,2/24/1995,The Walking Dead,6.6
,12/17/1993,What's Eating Gilbert Grape,7.5
,8/4/1995,Virtuosity,5.4
,4/21/1995,While You Were Sleeping,6.5
,11/4/1994,The War,6.3
,9/7/1994,Double Happiness,5.5
,9/29/1994,Muriel's Wedding,6.9
,8/18/1995,The Baby-Sitters Club,5.3
"{'id': 3167, 'name': 'Ace Ventura Collection', 'poster_path': '/qCxH543pScFed1CycwJ1nVgrkOc.jpg', 'backdrop_path': '/bswWgdDsLu0fhWMYUzLF8XgiK4h.jpg'}",2/4/1994,Ace Ventura: Pet Detective,6.4
,5/31/1994,"The Adventures of Priscilla, Queen of the Desert",7.2
,4/1/1994,Backbeat,6.2
,9/2/1992,Bitter Moon,7
,10/14/1994,Bullets Over Broadway,7
"{'id': 192492, 'name': 'The Jack Ryan Collection', 'poster_path': '/uCuiExsQDyJagov5aVAyw38YEm.jpg', 'backdrop_path': '/qYlcVBifq5T4wyWV00a5Awq0kUi.jpg'}",8/3/1994,Clear and Present Danger,6.4
,7/20/1994,The Client,6.4
,8/12/1994,"Corrina, Corrina",6.4
,5/13/1994,Crooklyn,6.7
"{'id': 9436, 'name': 'The Crow Collection', 'poster_path': '/kfU8OZptlBfR5DL9LNGL301Zmlz.jpg', 'backdrop_path': '/6sGKUZfV4g5d2LT4CsG89o0416W.jpg'}",5/11/1994,The Crow,7.3
,12/2/1994,Cobb,6.1
"{'id': 351684, 'name': 'The Flintstones (Live-Action) Collection', 'poster_path': '/v70Luw2mGhib4s0Osw7Ux8rQgBt.jpg', 'backdrop_path': '/qD0rip0E8EcRcjCPcdu5wUknLZJ.jpg'}",5/26/1994,The Flintstones,5
,7/6/1994,Forrest Gump,8.2
,3/9/1994,Four Weddings and a Funeral,6.6
,1/11/1995,Higher Learning,6.4
,10/14/1994,I Like It Like That,6.3
,6/29/1994,I Love Trouble,5.3
,7/29/1994,It Could Happen to You,6.1
,12/23/1994,The Jungle Book,5.9
,9/11/1993,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3
"{'id': 94032, 'name': 'The Lion King Collection', 'poster_path': '/oG1heUs503GV6xBnFhgyYTGWm05.jpg', 'backdrop_path': '/A9IEaj9cPAwEgFnTmteB70oxgJY.jpg'}",6/23/1994,The Lion King,8
,12/1/1993,Little Buddha,6
"{'id': 8581, 'name': 'A Nightmare on Elm Street Collection', 'poster_path': '/BcgmrOz69AUBRukw5LLGeYsOgo.jpg', 'backdrop_path': '/xDScJToK3YDTZmxNqQ0hFTObeXq.jpg'}",10/13/1994,New Nightmare,6.4
"{'id': 43072, 'name': 'The Mask Collection', 'poster_path': '/pl2vNt9XlxITTgm8wCQ2Y6ThkpT.jpg', 'backdrop_path': '/ucDNm5TJW1ji7kIjnX2SZYm7ATM.jpg'}",7/29/1994,The Mask,6.6
,5/20/1994,Maverick,6.6
,9/7/1994,Mrs. Parker and the Vicious Circle,6.3
"{'id': 37139, 'name': 'Naked Gun Collection', 'poster_path': '/qTJ2fbdU2Ru4OGZghQB8MYofkrN.jpg', 'backdrop_path': '/jxSnW02zjKtFnXFK2UzcLH8Ced2.jpg'}",3/18/1994,The Naked Gun 33⅓: The Final Insult,6.4
,3/18/1994,The Paper,6.1
,2/18/1994,Reality Bites,6.5
,7/8/1993,Red Rock West,6.4
"{'id': 167985, 'name': 'Richie Rich Collection', 'poster_path': None, 'backdrop_path': None}",12/19/1994,Ri¢hie Ri¢h,5.4
,12/1/1994,Safe Passage,4.9
,9/30/1994,The River Wild,6.1
"{'id': 43064, 'name': 'Speed Collection', 'poster_path': '/9poztwq7SXjEETRdWXcJsl58kxV.jpg', 'backdrop_path': '/75mSNcKIkfZSjXDgytC8UFe6vBl.jpg'}",6/9/1994,Speed,6.8
,12/16/1994,Speechless,5.5
"{'id': 170452, 'name': 'Timecop Collection', 'poster_path': '/7MzxlFFswI2OB7PifjnyMrrYke5.jpg', 'backdrop_path': '/mIqsp7AFmyTYjJ4N9qv3FhAUz60.jpg'}",9/15/1994,Timecop,5.5
,7/14/1994,True Lies,6.8
,4/29/1994,When a Man Loves a Woman,6
,6/17/1994,Wolf,6
,6/24/1994,Wyatt Earp,6.5
,1/20/1995,Bad Company,4.9
,12/22/1994,A Man of No Importance,6.5
,9/15/1994,S.F.W.,6.1
,11/23/1994,A Low Down Dirty Shame,6
,9/30/1994,"Boys Life: Three Stories of Love, Lust, and Liberation",2
,1/1/1994,Colonel Chabert,5.9
,8/6/1965,"Faster, Pussycat! Kill! Kill!",6.5
,9/28/1994,Jason's Lyric,5.9
,12/10/1993,The Secret Adventures of Tom Thumb,7.1
